iter	Passed	Remaining
0	54	54104
1	60	29986
2	94	31320
3	109	27343
4	118	23623
5	151	25056
6	164	23335
7	194	24066
8	201	22224
9	211	20975
10	244	21945
11	259	21334
12	278	21128
13	319	22476
14	323	21233
15	357	21995
16	377	21850
17	398	21731
18	404	20863
19	421	20651
20	457	21306
21	471	20981
22	489	20778
23	514	20927
24	542	21173
25	553	20739
26	584	21077
27	597	20729
28	625	20929
29	640	20720
30	661	20662
31	688	20827
32	705	20674
33	732	20817
34	751	20719
35	770	20635
36	788	20529
37	813	20582
38	834	20562
39	849	20379
40	860	20129
41	887	20240
42	915	20373
43	932	20267
44	956	20294
45	974	20205
46	987	20013
47	1009	20016
48	1029	19985
49	1047	19910
50	1068	19881
51	1092	19917
52	1105	19752
53	1124	19701
54	1137	19550
55	1153	19440
56	1174	19434
57	1187	19292
58	1215	19392
59	1229	19264
60	1252	19286
61	1267	19174
62	1294	19250
63	1317	19265
64	1334	19193
65	1346	19058
66	1383	19269
67	1402	19224
68	1426	19241
69	1453	19316
70	1471	19249
71	1492	19235
72	1503	19086
73	1510	18903
74	1515	18689
75	1530	18604
76	1534	18396
77	1554	18372
78	1562	18213
79	1580	18177
80	1592	18073
81	1616	18096
82	1639	18117
83	1665	18163
84	1669	17973
85	1684	17904
86	1699	17838
87	1703	17651
88	1717	17579
89	1721	17402
90	1733	17313
91	1738	17158
92	1765	17213
93	1780	17158
94	1806	17212
95	1819	17132
96	1851	17235
97	1873	17244
98	1887	17177
99	1903	17128
100	1917	17071
101	1930	16995
102	1951	16996
103	1958	16875
104	1999	17040
105	2020	17040
106	2038	17015
107	2048	16916
108	2057	16816
109	2062	16690
110	2067	16558
111	2074	16447
112	2078	16312
113	2081	16179
114	2086	16054
115	2089	15924
116	2093	15796
117	2096	15669
118	2100	15550
119	2103	15427
120	2107	15307
121	2110	15188
122	2113	15071
123	2117	14957
124	2120	14844
125	2124	14733
126	2128	14627
127	2132	14525
128	2136	14428
129	2142	14336
130	2145	14233
131	2149	14137
132	2153	14038
133	2157	13944
134	2163	13862
135	2168	13774
136	2178	13721
137	2206	13784
138	2211	13696
139	2221	13647
140	2226	13561
141	2234	13502
142	2245	13457
143	2254	13402
144	2261	13333
145	2267	13265
146	2272	13185
147	2275	13100
148	2278	13015
149	2282	12936
150	2287	12859
151	2290	12779
152	2294	12702
153	2298	12629
154	2305	12567
155	2309	12495
156	2313	12422
157	2318	12354
158	2323	12289
159	2327	12219
160	2331	12152
161	2345	12130
162	2359	12117
163	2370	12082
164	2377	12031
165	2390	12011
166	2395	11949
167	2405	11912
168	2415	11877
169	2427	11853
170	2435	11809
171	2453	11809
172	2480	11858
173	2497	11855
174	2509	11829
175	2518	11792
176	2532	11776
177	2547	11765
178	2563	11758
179	2583	11768
180	2599	11764
181	2609	11726
182	2625	11722
183	2636	11694
184	2659	11715
185	2669	11683
186	2675	11632
187	2725	11770
188	2756	11826
189	2772	11819
190	2795	11840
191	2817	11858
192	2845	11899
193	2857	11870
194	2887	11921
195	2904	11916
196	2919	11901
197	2932	11879
198	2945	11855
199	2955	11823
200	2971	11811
201	2976	11756
202	2985	11719
203	2996	11693
204	3002	11642
205	3011	11606
206	3022	11578
207	3027	11527
208	3038	11500
209	3045	11456
210	3048	11400
211	3052	11346
212	3056	11294
213	3063	11251
214	3068	11203
215	3072	11152
216	3078	11107
217	3083	11060
218	3087	11011
219	3091	10961
220	3097	10917
221	3101	10868
222	3105	10820
223	3119	10808
224	3123	10759
225	3127	10709
226	3132	10665
227	3136	10619
228	3140	10573
229	3148	10539
230	3152	10495
231	3157	10452
232	3162	10411
233	3166	10365
234	3169	10319
235	3174	10277
236	3221	10372
237	3231	10346
238	3235	10302
239	3240	10260
240	3248	10230
241	3252	10187
242	3256	10143
243	3269	10129
244	3272	10085
245	3280	10055
246	3295	10046
247	3299	10005
248	3318	10008
249	3337	10011
250	3347	9989
251	3356	9964
252	3368	9945
253	3376	9917
254	3380	9877
255	3420	9940
256	3455	9989
257	3472	9985
258	3505	10030
259	3517	10010
260	3539	10022
261	3555	10014
262	3579	10030
263	3593	10018
264	3619	10038
265	3629	10014
266	3650	10022
267	3674	10035
268	3678	9995
269	3682	9956
270	3687	9918
271	3691	9880
272	3697	9846
273	3712	9836
274	3727	9827
275	3744	9822
276	3753	9796
277	3769	9790
278	3778	9763
279	3795	9758
280	3802	9730
281	3822	9733
282	3831	9708
283	3846	9696
284	3862	9689
285	3881	9689
286	3889	9662
287	3903	9650
288	3915	9632
289	3926	9613
290	3939	9599
291	3952	9582
292	3958	9551
293	3977	9552
294	3991	9539
295	4004	9524
296	4026	9530
297	4044	9527
298	4058	9515
299	4069	9496
300	4082	9480
301	4095	9465
302	4108	9449
303	4118	9429
304	4137	9427
305	4147	9406
306	4160	9390
307	4178	9387
308	4186	9361
309	4193	9333
310	4209	9325
311	4221	9309
312	4236	9298
313	4248	9281
314	4259	9263
315	4273	9249
316	4291	9246
317	4301	9225
318	4314	9210
319	4324	9190
320	4330	9160
321	4343	9144
322	4360	9139
323	4372	9122
324	4386	9109
325	4396	9090
326	4408	9074
327	4416	9048
328	4429	9033
329	4442	9020
330	4458	9010
331	4468	8991
332	4479	8972
333	4492	8957
334	4497	8928
335	4522	8937
336	4528	8909
337	4549	8909
338	4560	8892
339	4571	8873
340	4586	8863
341	4602	8854
342	4609	8828
343	4618	8807
344	4630	8790
345	4636	8764
346	4650	8751
347	4661	8734
348	4678	8727
349	4697	8724
350	4704	8699
351	4719	8687
352	4730	8671
353	4741	8653
354	4753	8637
355	4765	8621
356	4778	8607
357	4790	8591
358	4808	8586
359	4821	8571
360	4833	8556
361	4854	8556
362	4864	8536
363	4876	8520
364	4897	8519
365	4905	8497
366	4916	8479
367	4937	8479
368	4951	8466
369	4970	8463
370	5001	8479
371	5009	8457
372	5021	8440
373	5036	8430
374	5055	8425
375	5082	8435
376	5107	8440
377	5131	8443
